museum_id,name,address,city,country,phone,url
53,Cleveland Museum Of Art,11150 East Blvd,Cleveland,USA,+1 216 421-7350,http://clevelandart.org/
54,"Museum of Fine Arts, Houston",1001 Bissonnet St,Houston,USA,+1 713 639-7300,https://www.mfah.org/
55,The J. Paul Getty Museum,1200 Getty Center Dr,Los Angeles,USA,+1 310 440-7300,https://www.getty.edu/museum/
56,Thussen-Bornemisza Museum,"P.º del Prado, 8",Madrid,Spain,+ 34 917 91 13 70,https://www.museothyssen.org/en
57,Van Gogh Museum,Museumplein 6,Amsterdam,Netherlands,+1 020 570 52 00,https://www.vangoghmuseum.nl/en
58,The Phillips Collection,1600 21st St NW,Washington,USA,+1 202 387-2151,https://www.phillipscollection.org/
59,Toledo Museum of Art,2445 Monroe St,Toledo,USA,+1 419 255-8000,https://www.toledomuseum.org/
60,Los Angeles County Museum of Art,5905 Wilshire Blvd,Los Angeles,USA,+1 323 857-6000,https://www.lacma.org/
61,Solomon R. Guggenheim Museum,1071 Fifth Avenue,New York,USA,+1 212 423-3500,https://www.guggenheim.org/
62,The Tate Gallery,Millbank,London,UK,+44 (0)20 7887 8888,https://www.tate.org.uk/visit/tate-britain
63,Indianapolis Museum of Art,4000 N Michigan Rd,Indianapolis,USA,+1 317923-1331,https://discovernewfields.org/
64,Museum of Fine Arts of Nancy,3 Pl. Stanislas,Nancy,France,+33 3 83 85 30 01,https://useum.org/museum/Museum-of-Fine-Arts-of-Nancy
65,Fine Arts Museums of San Francisco Legion of Honor,100 34th  Avenue,San Francisco,USA,+1 415 750-3600,https://www.famsf.org/
66,Smithsonian American Art Museum,800 G Street NW,Washington,USA,+1 202 633-1000,https://americanart.si.edu/
67,Philadelphia Museum of Art,2600 Benjamin Franklin Pkwy,Philadelphia,USA,+1 215 763-8100,https://philamuseum.org/
68,The Art Institute of Chicago,111 S Michigan Ave,Chicago,USA,+1 312  443-3600,https://www.artic.edu/
69,Saint Louis Art Museum,1 Fine Arts Dr,St. Louis,USA,+1 304 721-0072,http://www.slam.org/
70,Uffizi Gallery Italy,"Piazzale degli Uffizi, 6",Firenze,Italy,+39 055 294883,https://www.uffizi.it/en
71,Ohara Museum of Art,1 Chome-1-15 Central,Kurashiki,Japan,+81 86-422-0005,https://www.ohara.or.jp/en/
72,Musée Marmottan Monet,2 Rue Louis Boilly,Paris,France,+33 1 44 96 50 33,https://www.marmottan.fr/en/
73,Walters Art Museum,600 N Charles St,Baltimore,USA,+1 410 547-9000,https://thewalters.org/
74,Kröller-Müller Museum,Houtkampweg 6,6731 AW Otterlo,Netherlands,+31 318 591 241,https://krollermuller.nl/en
75,National Museum,Cathays Park,Cardiff,UK,+44 300 111 2333,https://museum.wales/
76,Columbus Museum of Art,480 E Broad St,Columbus,USA,+1 (614) 221-6801,https://www.columbusmuseum.org/
77,Kimbell Art Museum,3333 Camp Bowie Blvd,Fort Worth,USA,+(817) 332-8451,https://kimbellart.org/
78,Walker Art Gallery,William Brown St,Liverpool,UK,+44 151 478 4199,https://www.liverpoolmuseums.org.uk/
79,National Museum of Art Architecture and Design,Brynjulf Bulls plass 3,Oslo,Norway,+47 21 98 20 00,https://www.nasjonalmuseet.no/en/
80,Dallas Museum of Art,1717 N Harwood St,Dallas,USA,+1(214) 922-1200,https://www.dma.org/
81,Museum of Fine Arts,Hodlerstrasse 8,Bern,Switzerland,+41 31 328 09 44,https://www.kunstmuseumbern.ch/en/
82,Army Museum,129 Rue de Grenelle,Paris,France,+33 810 11 33 99,https://www.musee-armee.fr/en/english-version.html
83,Chrysler Museum of Art,1 Memorial Pl,Norfolk,USA,+1(757) 664-6200,https://chrysler.org/
84,National Gallery Prague,Václavské nám. 68,Nové Měst,Czechia,+420 224 497 111,https://www.nm.cz/en
85,Norton Simon Museum,411 W Colorado Blvd,Pasadena,USA,+1(626) 449-6840,https://www.nortonsimon.org/
86,Courtauld Gallery,Somerset House,Stran,UK,+44 20 3947 7777,https://courtauld.ac.uk/
